@RELATION B

@ATTRIBUTE id STRING
@ATTRIBUTE value STRING
@ATTRIBUTE value2 STRING
@ATTRIBUTE value3 STRING

@DATA
1,1,0,0
2,2,1,1
3,3,2,2
4,4,3,3
5,5,4,4
6,6,5,5
7,7,6,6
8,8,7,7
9,9,8,8
10,10,9,9
11,11,10,10
12,12,11,11
13,13,12,12
14,14,13,13
15,15,14,14
16,16,15,15
17,17,16,16
18,18,17,17
19,19,18,18
20,20,19,19
21,21,20,20
22,22,21,21
23,23,22,22
24,24,23,23
25,25,24,24
26,26,25,25
27,27,26,26
28,28,27,27
29,29,28,28
30,30,29,29
31,31,30,30
32,32,31,31
33,33,32,32
34,34,33,33
35,35,34,34
36,36,35,35
37,37,36,36
38,38,37,37
39,39,38,38
40,40,39,39
41,41,40,40
42,42,41,41
43,43,42,42
44,44,43,43
45,45,44,44
46,46,45,45
47,47,46,46
48,48,47,47
49,49,48,48
50,50,49,49
51,51,50,50
52,52,51,51
53,53,52,52
54,54,53,53
55,55,54,54
56,56,55,55
57,57,56,56
58,58,57,57
59,59,58,58
60,60,59,59
61,61,60,60
62,62,61,61
63,63,62,62
64,64,63,63
65,65,64,64
66,66,65,65
67,67,66,66
68,68,67,67
69,69,68,68
70,70,69,69
71,71,70,70
72,72,71,71
73,73,72,72
74,74,73,73
75,75,74,74
76,76,75,75
77,77,76,76
78,78,77,77
79,79,78,78
80,80,79,79
81,81,80,80
82,82,81,81
83,83,82,82
84,84,83,83
85,85,84,84
86,86,85,85
87,87,86,86
88,88,87,87
89,89,88,88
90,90,89,89
91,91,90,90
92,92,91,91
93,93,92,92
94,94,93,93
95,95,94,94
96,96,95,95
97,97,96,96
98,98,97,97
99,99,98,98
100,100,99,99
101,101,100,100
102,102,101,101
103,103,102,102
104,104,103,103
105,105,104,104
106,106,105,105
107,107,106,106
108,108,107,107
109,109,108,108
110,110,109,109
111,111,110,110
112,112,111,111
113,113,112,112
114,114,113,113
115,115,114,114
116,116,115,115
117,117,116,116
118,118,117,117
119,119,118,118
120,120,119,119
121,121,120,120
122,122,121,121
123,123,122,122
124,124,123,123
125,125,124,124
126,126,125,125
127,127,126,126
128,128,127,127
129,129,128,128
130,130,129,129
131,131,130,130
132,132,131,131
133,133,132,132
134,134,133,133
135,135,134,134
136,136,135,135
137,137,136,136
138,138,137,137
139,139,138,138
140,140,139,139
141,141,140,140
142,142,141,141
143,143,142,142
144,144,143,143
145,145,144,144
146,146,145,145
147,147,146,146
148,148,147,147
149,149,148,148
150,150,149,149
151,151,150,150
152,152,151,151
153,153,152,152
154,154,153,153
155,155,154,154
156,156,155,155
157,157,156,156
158,158,157,157
159,159,158,158
160,160,159,159
161,161,160,160
162,162,161,161
163,163,162,162
164,164,163,163
165,165,164,164
166,166,165,165
167,167,166,166
168,168,167,167
169,169,168,168
170,170,169,169
171,171,170,170
172,172,171,171
173,173,172,172
174,174,173,173
175,175,174,174
176,176,175,175
177,177,176,176
178,178,177,177
179,179,178,178
180,180,179,179
181,181,180,180
182,182,181,181
183,183,182,182
184,184,183,183
185,185,184,184
186,186,185,185
187,187,186,186
188,188,187,187
189,189,188,188
190,190,189,189
191,191,190,190
192,192,191,191
193,193,192,192
194,194,193,193
195,195,194,194
196,196,195,195
197,197,196,196
198,198,197,197
199,199,198,198
200,200,199,199
201,201,200,200
202,202,201,201
203,203,202,202
204,204,203,203
205,205,204,204
206,206,205,205
207,207,206,206
208,208,207,207
209,209,208,208
210,210,209,209
211,211,210,210
212,212,211,211
213,213,212,212
214,214,213,213
215,215,214,214
216,216,215,215
217,217,216,216
218,218,217,217
219,219,218,218
220,220,219,219
221,221,220,220
222,222,221,221
223,223,222,222
224,224,223,223
225,225,224,224
226,226,225,225
227,227,226,226
228,228,227,227
229,229,228,228
230,230,229,229
231,231,230,230
232,232,231,231
233,233,232,232
234,234,233,233
235,235,234,234
236,236,235,235
237,237,236,236
238,238,237,237
239,239,238,238
240,240,239,239
241,241,240,240
242,242,241,241
243,243,242,242
244,244,243,243
245,245,244,244
246,246,245,245
247,247,246,246
248,248,247,247
249,249,248,248
250,250,249,249
251,251,250,250
252,252,0,0
253,253,1,1
254,254,2,2
255,255,3,3
256,256,4,4
257,257,5,5
258,258,6,6
259,259,7,7
260,260,8,8
261,261,9,9
262,262,10,10
263,263,11,11
264,264,12,12
265,265,13,13
266,266,14,14
267,267,15,15
268,268,16,16
269,269,17,17
270,270,18,18
271,271,19,19
272,272,20,20
273,273,21,21
274,274,22,22
275,275,23,23
276,276,24,24
277,277,25,25
278,278,26,26
279,279,27,27
280,280,28,28
281,281,29,29
282,282,30,30
283,283,31,31
284,284,32,32
285,285,33,33
286,286,34,34
287,287,35,35
288,288,36,36
289,289,37,37
290,290,38,38
291,291,39,39
292,292,40,40
293,293,41,41
294,294,42,42
295,295,43,43
296,296,44,44
297,297,45,45
298,298,46,46
299,299,47,47
300,300,48,48
301,301,49,49
302,302,50,50
303,303,51,51
304,304,52,52
305,305,53,53
306,306,54,54
307,307,55,55
308,308,56,56
309,309,57,57
310,310,58,58
311,311,59,59
312,312,60,60
313,313,61,61
314,314,62,62
315,315,63,63
316,316,64,64
317,317,65,65
318,318,66,66
319,319,67,67
320,320,68,68
321,321,69,69
322,322,70,70
323,323,71,71
324,324,72,72
325,325,73,73
326,326,74,74
327,327,75,75
328,328,76,76
329,329,77,77
330,330,78,78
331,331,79,79
332,332,80,80
333,333,81,81
334,334,82,82
335,335,83,83
336,336,84,84
337,337,85,85
338,338,86,86
339,339,87,87
340,340,88,88
341,341,89,89
342,342,90,90
343,343,91,91
344,344,92,92
345,345,93,93
346,346,94,94
347,347,95,95
348,348,96,96
349,349,97,97
350,350,98,98
351,351,99,99
352,352,100,100
353,353,101,101
354,354,102,102
355,355,103,103
356,356,104,104
357,357,105,105
358,358,106,106
359,359,107,107
360,360,108,108
361,361,109,109
362,362,110,110
363,363,111,111
364,364,112,112
365,365,113,113
366,366,114,114
367,367,115,115
368,368,116,116
369,369,117,117
370,370,118,118
371,371,119,119
372,372,120,120
373,373,121,121
374,374,122,122
375,375,123,123
376,376,124,124
377,377,125,125
378,378,126,126
379,379,127,127
380,380,128,128
381,381,129,129
382,382,130,130
383,383,131,131
384,384,132,132
385,385,133,133
386,386,134,134
387,387,135,135
388,388,136,136
389,389,137,137
390,390,138,138
391,391,139,139
392,392,140,140
393,393,141,141
394,394,142,142
395,395,143,143
396,396,144,144
397,397,145,145
398,398,146,146
399,399,147,147
400,400,148,148
401,401,149,149
402,402,150,150
403,403,151,151
404,404,152,152
405,405,153,153
406,406,154,154
407,407,155,155
408,408,156,156
409,409,157,157
410,410,158,158
411,411,159,159
412,412,160,160
413,413,161,161
414,414,162,162
415,415,163,163
416,416,164,164
417,417,165,165
418,418,166,166
419,419,167,167
420,420,168,168
421,421,169,169
422,422,170,170
423,423,171,171
424,424,172,172
425,425,173,173
426,426,174,174
427,427,175,175
428,428,176,176
429,429,177,177
430,430,178,178
431,431,179,179
432,432,180,180
433,433,181,181
434,434,182,182
435,435,183,183
436,436,184,184
437,437,185,185
438,438,186,186
439,439,187,187
440,440,188,188
441,441,189,189
442,442,190,190
443,443,191,191
444,444,192,192
445,445,193,193
446,446,194,194
447,447,195,195
448,448,196,196
449,449,197,197
450,450,198,198
451,451,199,199
452,452,200,200
453,453,201,201
454,454,202,202
455,455,203,203
456,456,204,204
457,457,205,205
458,458,206,206
459,459,207,207
460,460,208,208
461,461,209,209
462,462,210,210
463,463,211,211
464,464,212,212
465,465,213,213
466,466,214,214
467,467,215,215
468,468,216,216
469,469,217,217
470,470,218,218
471,471,219,219
472,472,220,220
473,473,221,221
474,474,222,222
475,475,223,223
476,476,224,224
477,477,225,225
478,478,226,226
479,479,227,227
480,480,228,228
481,481,229,229
482,482,230,230
483,483,231,231
484,484,232,232
485,485,233,233
486,486,234,234
487,487,235,235
488,488,236,236
489,489,237,237
490,490,238,238
491,491,239,239
492,492,240,240
493,493,241,241
494,494,242,242
495,495,243,243
496,496,244,244
497,497,245,245
498,498,246,246
499,499,247,247
500,500,248,248
501,501,249,249
502,502,250,250
503,503,0,0
504,504,1,1
505,505,2,2
506,506,3,3
507,507,4,4
508,508,5,5
509,509,6,6
510,510,7,7
511,511,8,8
512,512,9,9
513,513,10,10
514,514,11,11
515,515,12,12
516,516,13,13
517,517,14,14
518,518,15,15
519,519,16,16
520,520,17,17
521,521,18,18
522,522,19,19
523,523,20,20
524,524,21,21
525,525,22,22
526,526,23,23
527,527,24,24
528,528,25,25
529,529,26,26
530,530,27,27
531,531,28,28
532,532,29,29
533,533,30,30
534,534,31,31
535,535,32,32
536,536,33,33
537,537,34,34
538,538,35,35
539,539,36,36
540,540,37,37
541,541,38,38
542,542,39,39
543,543,40,40
544,544,41,41
545,545,42,42
546,546,43,43
547,547,44,44
548,548,45,45
549,549,46,46
550,550,47,47
551,551,48,48
552,552,49,49
553,553,50,50
554,554,51,51
555,555,52,52
556,556,53,53
557,557,54,54
558,558,55,55
559,559,56,56
560,560,57,57
561,561,58,58
562,562,59,59
563,563,60,60
564,564,61,61
565,565,62,62
566,566,63,63
567,567,64,64
568,568,65,65
569,569,66,66
570,570,67,67
571,571,68,68
572,572,69,69
573,573,70,70
574,574,71,71
575,575,72,72
576,576,73,73
577,577,74,74
578,578,75,75
579,579,76,76
580,580,77,77
581,581,78,78
582,582,79,79
583,583,80,80
584,584,81,81
585,585,82,82
586,586,83,83
587,587,84,84
588,588,85,85
589,589,86,86
590,590,87,87
591,591,88,88
592,592,89,89
593,593,90,90
594,594,91,91
595,595,92,92
596,596,93,93
597,597,94,94
598,598,95,95
599,599,96,96
600,600,97,97
601,601,98,98
602,602,99,99
603,603,100,100
604,604,101,101
605,605,102,102
606,606,103,103
607,607,104,104
608,608,105,105
609,609,106,106
610,610,107,107
611,611,108,108
612,612,109,109
613,613,110,110
614,614,111,111
615,615,112,112
616,616,113,113
617,617,114,114
618,618,115,115
619,619,116,116
620,620,117,117
621,621,118,118
622,622,119,119
623,623,120,120
624,624,121,121
625,625,122,122
626,626,123,123
627,627,124,124
628,628,125,125
629,629,126,126
630,630,127,127
631,631,128,128
632,632,129,129
633,633,130,130
634,634,131,131
635,635,132,132
636,636,133,133
637,637,134,134
638,638,135,135
639,639,136,136
640,640,137,137
641,641,138,138
642,642,139,139
643,643,140,140
644,644,141,141
645,645,142,142
646,646,143,143
647,647,144,144
648,648,145,145
649,649,146,146
650,650,147,147
651,651,148,148
652,652,149,149
653,653,150,150
654,654,151,151
655,655,152,152
656,656,153,153
657,657,154,154
658,658,155,155
659,659,156,156
660,660,157,157
661,661,158,158
662,662,159,159
663,663,160,160
664,664,161,161
665,665,162,162
666,666,163,163
667,667,164,164
668,668,165,165
669,669,166,166
670,670,167,167
671,671,168,168
672,672,169,169
673,673,170,170
674,674,171,171
675,675,172,172
676,676,173,173
677,677,174,174
678,678,175,175
679,679,176,176
680,680,177,177
681,681,178,178
682,682,179,179
683,683,180,180
684,684,181,181
685,685,182,182
686,686,183,183
687,687,184,184
688,688,185,185
689,689,186,186
690,690,187,187
691,691,188,188
692,692,189,189
693,693,190,190
694,694,191,191
695,695,192,192
696,696,193,193
697,697,194,194
698,698,195,195
699,699,196,196
700,700,197,197
701,701,198,198
702,702,199,199
703,703,200,200
704,704,201,201
705,705,202,202
706,706,203,203
