@RELATION C

@ATTRIBUTE id STRING
@ATTRIBUTE value STRING

@DATA
9,1
17,1
25,1
33,1
41,1
49,1
65,1
81,1
97,1
2,5
7,5
11,5
15,5
19,5
23,5
27,5
31,5
35,5
39,5
43,5
47,5
55,5
63,5
71,5
79,5
87,5
95,5
1,1
3,1
6,1
8,1
10,1
12,1
14,1
16,1
18,1
20,1
22,1
24,1
26,1
28,1
30,1
32,1
34,1
36,1
38,1
40,1
42,1
44,1
46,1
48,1
50,1
54,1
58,1
62,1
66,1
70,1
74,1
78,1
82,1
86,1
90,1
94,1
98,1
1,5
2,5
3,5
4,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
52,5
54,5
56,5
58,5
60,5
62,5
64,5
66,5
68,5
70,5
72,5
74,5
76,5
78,5
80,5
82,5
84,5
87,5
89,5
91,5
93,5
95,5
97,5
99,5
500,5
51,200
52,200
53,200
54,200
55,200
56,200
57,200
58,200
59,200
60,200
61,200
62,200
63,200
64,200
65,200
66,200
67,200
68,200
69,200
70,200
71,200
72,200
73,200
74,200
75,200
76,200
77,200
78,200
79,200
80,200
81,200
82,200
83,200
84,200
86,200
87,200
88,200
89,200
90,200
91,200
92,200
93,200
94,200
95,200
96,200
97,200
98,200
99,200
100,200
500,200
85,200
